dyad,MonthYear,event_count,goldstein_std,goldstein_min,num_mentions_sum,num_articles_sum,num_sources_sum,high_conflict_count,low_conflict_count,quad4_count,high_conflict_pct,low_conflict_pct,quad4_pct
CHN-JPN,201912,5416,4.271683279230281,-10.0,25411,24579,5892,326,832,536.0,0.0601920236336779,0.1536189069423929,0.0989660265878877
CHN-JPN,202001,5209,3.9964624242488913,-10.0,23939,23635,5692,134,1359,878.0,0.0257247072374736,0.2608946054904972,0.1685544250335957
CHN-JPN,202002,5785,4.002367502832834,-10.0,27069,26740,6238,180,1589,1044.0,0.031114952463267,0.2746758859118409,0.180466724286949
CHN-JPN,202003,3864,4.3068040076594185,-10.0,17079,16873,4064,215,924,577.0,0.0556418219461697,0.2391304347826087,0.1493271221532091
CHN-JPN,202004,2078,4.33773713750624,-10.0,9159,9001,2104,115,569,212.0,0.0553416746871992,0.2738209817131857,0.1020211742059672
CHN-JPN,202005,2272,4.3802220001722985,-10.0,9494,9356,2377,123,667,217.0,0.0541373239436619,0.2935739436619718,0.0955105633802816
CHN-JPN,202006,2937,4.294953371506354,-10.0,12502,12226,3234,199,942,256.0,0.0677562138236295,0.3207354443309499,0.0871637725570309
CHN-JPN,202007,3076,4.429877109890123,-10.0,13627,13506,3207,153,1178,278.0,0.0497399219765929,0.38296488946684,0.0903771131339401
CHN-JPN,202008,2263,4.647109859550627,-10.0,9008,8953,2318,151,718,236.0,0.0667255855059655,0.3172779496243924,0.1042863455589925
CHN-JPN,202009,2818,4.349489064428588,-10.0,11836,11731,2938,156,804,259.0,0.0553584102200141,0.2853087295954578,0.0919091554293825
CHN-JPN,202010,2449,3.957769008322253,-10.0,9514,9425,2628,104,873,197.0,0.0424663127807268,0.356472029399755,0.0804409963250306
CHN-JPN,202011,2919,3.921267147829525,-10.0,12315,12070,3157,76,556,147.0,0.0260363138060979,0.1904761904761904,0.0503597122302158
CHN-JPN,202012,2280,4.101853104008204,-10.0,9731,9558,2346,88,664,164.0,0.0385964912280701,0.2912280701754386,0.0719298245614035
CHN-JPN,202101,1661,4.608526569721737,-10.0,6855,6842,1754,88,514,161.0,0.0529801324503311,0.3094521372667068,0.0969295605057194
